Date,Minimum temperature (Deg C),Maximum Temperature (Deg C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (Deg C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (Deg C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2019-03-22,18.7,28.6,0,2.8,6.4,NNW,31,16:37:00,20.1,88,8,NNE,6,1015.4,25.5,66,2,SW,9,1011.7
2019-03-23,19.9,31.3,1.8,6.6,5.8,SSW,46,16:41:00,22.3,61,8,N,13,1009.5,29.8,37,1,N,26,1004.7
2019-03-24,16.5,29.3,2,6.6,7.4,NNW,57,20:01:00,19,79,4,NNE,9,1011,29,35,5,NNW,26,1004.1
2019-03-25,14.8,19,0.2,12,8.9,W,50,07:54:00,15,53,5,WNW,17,1005.5,15.8,44,3,W,17,1009.3
2019-03-26,12.3,20.3,0,8.8,10.2,S,33,11:08:00,13.5,56,1,NW,15,1018.2,19.2,43,3,S,13,1020.2
2019-03-27,11.1,21.7,0,6.2,10.8,SSW,24,13:36:00,13.5,66,1,NA,Calm,1024.7,19.6,51,0,S,13,1021.5
2019-03-28,11.6,27.9,0,3.8,10.3,NNE,39,15:15:00,14.6,61,1,N,7,1018.3,27.1,24,4,NNE,19,1013
2019-03-29,14.6,28.5,0,13.4,2.9,N,56,15:33:00,21.5,35,7,N,20,1006.1,27.2,21,7,NW,13,1000.3
2019-03-30,9.1,15.6,1.8,9,2.8,WNW,39,13:39:00,9.5,80,7,W,15,1009.9,14.5,50,3,SW,15,1009.9
2019-03-31,9.4,18.5,2.2,3,3.7,SSW,30,13:14:00,14.1,79,7,WNW,9,1015.2,16.6,81,7,S,13,1017.4
2019-04-1,13,17.1,0.2,1.6,2.8,WSW,17,23:33:00,13.4,78,7,NNE,6,1025.5,16.9,57,7,SSW,7,1025.2
2019-04-2,7.4,25.9,0,2.4,10.8,NNE,35,11:29:00,9.4,82,6,NNE,11,1027,24.8,32,2,NNW,17,1022.1
2019-04-3,9.4,24.7,0,8,4.5,WSW,35,10:14:00,18.6,56,7,N,11,1024.2,20.2,70,7,SSW,11,1026.2
2019-04-4,13.3,21.9,0,5,3.8,SSE,24,00:06:00,14.6,68,6,SW,2,1030.4,20.8,55,7,SSW,9,1027.3
2019-04-5,14.4,28.5,0,4,7.9,N,54,13:42:00,16.9,73,4,N,9,1024.5,27.2,37,7,N,28,1018.3
2019-04-6,16.5,20.1,0,11.8,8.1,N,63,00:19:00,16.7,71,2,WSW,7,1019.5,18.8,58,7,S,13,1019.4
2019-04-7,9.5,26.5,0,6.4,9.9,NNW,48,15:14:00,16.5,65,0,NNE,9,1017.6,26.1,30,2,NNW,19,1011.6
2019-04-8,12.5,23.1,0,6.5,5.7,NNW,48,14:07:00,17.2,60,7,N,9,1014.1,22.5,40,4,NNW,15,1010.6
2019-04-9,11.1,16.3,1.6,6,7.8,SSW,37,18:11:00,12.9,58,1,W,13,1018.1,14.6,53,7,SSW,15,1020.3
2019-04-10,10.7,15.8,1.4,3.6,0.5,SW,22,03:16:00,11.9,76,7,W,6,1027.4,15.5,54,7,SSW,11,1026.4
2019-04-11,11.3,17.3,0,2.6,11.4,S,28,15:51:00,14.1,61,5,NNE,6,1027.7,16.3,55,7,SSW,13,1025.4
2019-04-12,6.7,24.9,0.2,4,10.8,N,33,14:36:00,11.5,75,0,NNE,7,1024.9,24.3,27,0,N,15,1020.2
2019-04-13,10.5,20.7,0,6,3.4,SSW,20,14:07:00,12.8,65,7,NNE,6,1025.6,19.7,54,7,SSW,9,1023.8
2019-04-14,11.8,22.5,0,2.8,7.9,S,17,16:00:00,14.9,87,7,NE,4,1025.2,21.6,50,3,SSW,7,1020.8
2019-04-15,12.9,27.4,0,4.4,5.4,NNW,30,15:03:00,17.1,66,7,NE,2,1021.7,27.2,29,7,NNW,13,1017.7
2019-04-16,17.1,30.3,0,10.8,9.2,N,46,11:16:00,22.8,44,2,N,7,1021.3,30.1,22,1,N,19,1018
2019-04-17,22.1,30,0,15,6.6,N,50,10:41:00,25.8,32,7,N,20,1018.3,29.3,27,7,N,26,1016.3
2019-04-18,13.2,17.7,0,9.8,7.5,S,30,12:51:00,15.3,59,3,SSW,4,1027.7,16.8,52,7,SSW,17,1026.9
2019-04-19,8.6,22.1,0,4.8,9.6,SSE,17,02:48:00,12.7,68,1,NE,9,1027.8,20.1,51,1,SSW,9,1024.2
2019-04-20,10.2,30.2,0,3.4,9.9,NNE,24,12:21:00,15,54,1,NNE,11,1023.9,29.7,24,2,N,11,1019.2
2019-04-21,14.8,27,0,9.4,0.5,N,35,11:10:00,22.3,48,7,NNW,9,1017.9,26.8,39,7,N,15,1015.9
2019-04-22,13.7,17.6,0.8,6.6,0,SSW,22,12:29:00,15.7,68,7,S,9,1025.4,17,61,7,S,11,1025.8
2019-04-23,11.1,18.5,0,2.4,2.1,SSW,22,15:11:00,15.8,72,7,SSE,6,1028.2,17.9,66,6,SSW,11,1026.4
2019-04-24,14.6,23.2,0,2.4,2.3,S,31,16:10:00,16,81,8,NA,Calm,1025,20.7,63,5,SSW,13,1020.8
2019-04-25,10.2,21.5,0,1.2,9.8,NNW,24,12:21:00,14,75,4,N,9,1022.4,21,41,1,WSW,7,1017.6
2019-04-26,11.9,15.8,3,5.2,5.1,WSW,41,17:01:00,12.4,73,7,W,11,1017.7,13.9,55,6,WSW,17,1018.8
2019-04-27,8.7,16.2,0,3.2,0.9,W,30,12:56:00,12.7,60,5,NW,9,1026.5,15.4,49,7,W,9,1024.7
2019-04-28,12.4,17.4,0,3.6,1.3,WNW,33,11:38:00,13.6,79,7,W,11,1025.4,16.6,62,7,SSW,9,1025
2019-04-29,11.5,18.1,0,2.4,5.9,WSW,19,06:05:00,12.9,75,7,WNW,4,1027.2,17.6,51,1,ESE,6,1022.3
2019-04-30,7.9,23.1,0,2,7,NNW,48,12:45:00,15.6,54,2,N,11,1017.2,22.3,33,7,N,26,1011.9
2019-05-1,15.6,22.8,0,8,4.2,N,46,09:34:00,20.2,46,7,N,20,1012,22.5,58,4,N,19,1012.6
2019-05-2,17.1,20.2,3.6,4.8,0.4,N,39,13:01:00,17.6,78,7,N,13,1018.2,19.9,72,7,N,17,1015.1
2019-05-3,11.8,20.7,0.2,2.6,10,NNW,30,13:46:00,15.4,75,1,NNW,11,1017,19.4,39,5,NW,13,1014
2019-05-4,13,16.4,0.2,4.6,4.3,S,37,17:19:00,14.1,72,2,WSW,9,1019.4,16.1,66,4,SSW,15,1020.5
2019-05-5,11.3,16.3,2,2,3.1,SSW,28,14:40:00,13,84,7,W,6,1025.4,15.5,71,7,SSW,15,1024.3
2019-05-6,11.7,16.7,0.2,2.4,5.2,SSW,24,13:25:00,12.2,85,4,S,6,1023.5,16,61,5,S,9,1020
2019-05-7,7.4,18.7,0,2.4,9.7,NNW,57,21:26:00,10.6,80,1,NNE,9,1014.6,18.6,46,2,N,20,1008.7
2019-05-8,10.3,17.4,5.2,4.8,5.3,W,35,11:49:00,13,75,6,WNW,11,1011.3,15.6,61,6,W,11,1013.8
2019-05-9,9.7,16.2,0.6,3.6,1.4,N,57,12:39:00,13.4,62,6,N,22,1013.2,16.1,47,7,N,20,1009.1
2019-05-10,10.2,14.2,7.2,3.8,0.3,S,50,17:04:00,11.8,100,7,NA,Calm,1011.8,13.8,77,7,S,22,1014.5
2019-05-11,10.2,16.4,8.2,2.4,2.4,W,26,09:41:00,12.2,76,3,WNW,7,1025.4,15.2,70,7,SSW,7,1025
2019-05-12,12.2,17.7,0,1.2,1.9,N,22,17:56:00,14.3,68,7,NNW,9,1028.3,17,56,7,W,7,1026.7
2019-05-13,12.7,18.1,0,1.8,7.4,N,46,15:42:00,14.5,74,2,N,13,1027.8,17.4,50,6,N,19,1024.5
2019-05-14,11.3,20.2,0,4,7,NW,33,13:09:00,14.4,64,3,N,13,1028.4,19.6,46,4,W,9,1027.2
2019-05-15,12,15.8,0,2.8,4.4,SW,20,12:40:00,13.6,74,7,W,2,1031.9,15.1,57,2,S,9,1030.2
2019-05-16,10.5,16.1,0,1.8,5.8,S,17,13:32:00,11.3,77,7,NE,7,1029.7,15.3,58,1,SSW,9,1026.4
2019-05-17,6.5,18.6,0,1.4,9.5,NNW,22,11:55:00,9.1,84,1,NE,11,1028.4,16.6,58,1,SSW,7,1026.2
2019-05-18,6.2,21.5,0,2,9.6,W,17,14:01:00,8.9,83,1,NE,9,1031.1,20.3,49,1,SW,4,1027.5
2019-05-19,8.9,21.8,0.2,3.2,8.4,N,33,11:32:00,11.9,76,7,N,9,1028.9,20.4,43,3,N,17,1025.2
2019-05-20,12,19.6,0.4,5.4,3.9,N,52,13:35:00,17.8,60,7,N,17,1021.4,18.6,64,3,NNW,19,1018.6
2019-05-21,11.1,20.4,0.4,2.6,4.4,NNW,33,15:46:00,14,77,7,NNW,11,1023.8,19.3,56,7,N,15,1022.2
2019-05-22,10.7,22.3,0,2.6,9.8,NNW,24,12:23:00,14.4,72,1,N,7,1028.3,20.9,38,1,SSW,11,1026.1
2019-05-23,9.9,21.3,0,3.6,8.8,N,46,14:10:00,13.8,72,0,N,11,1026.5,20.8,43,5,N,22,1021.6
2019-05-24,13.8,20.2,0,8,2,N,50,15:58:00,16.1,47,7,NNW,22,1019.7,19.3,50,5,N,22,1014
2019-05-25,13.7,19.8,1.6,4,6.8,NW,44,13:47:00,15.6,69,7,NNW,7,1014,18.5,53,7,NNW,20,1010.2
2019-05-26,9.5,15.1,6.6,4.6,6.5,WSW,50,21:02:00,11.2,64,1,N,11,1014.5,14.5,54,7,NNW,22,1009.9
2019-05-27,7.8,14,8.2,4.8,5.4,WNW,46,03:44:00,8.7,67,7,WNW,13,1008.2,13.1,60,3,WSW,15,1009.7
2019-05-28,8.2,15.7,0.2,2.2,0.2,NW,44,21:11:00,9.7,76,7,N,19,1010.3,14.9,61,7,N,9,1004.8
2019-05-29,8.7,10.6,1.2,3.8,6.8,NW,50,10:09:00,8.9,62,3,WNW,13,1002.9,9.6,63,3,W,15,1005.5
2019-05-30,6.7,13.3,5.8,1.8,4.7,SW,31,14:50:00,8.5,71,3,WSW,9,1021.3,12.4,63,7,SW,13,1022.2
2019-05-31,8.5,14.3,1.4,2.4,1.1,SSW,31,11:58:00,11.8,99,7,SW,9,1027.1,13.3,80,7,SSW,9,1027.4
2019-06-1,11.7,14.6,2.4,0.6,0.5,SSW,28,00:28:00,13.3,78,7,S,9,1032.5,13.8,71,7,SSW,9,1031
2019-06-2,11,14.5,0,1,2.3,WNW,41,16:03:00,11.3,79,7,WNW,6,1028.3,13.6,67,7,NW,7,1022.7
2019-06-3,8.2,12,15.4,2.4,0,S,35,20:21:00,9.3,97,8,SSE,7,1020,10.2,91,7,S,11,1021.6
2019-06-4,8.4,12.9,3.2,2.4,4.9,S,30,00:14:00,10.1,68,7,SSE,9,1027.4,12.5,59,4,S,15,1028.1
2019-06-5,8.6,13,0,0.8,0.7,SW,24,13:54:00,10.3,84,7,WSW,7,1032.8,12.8,57,7,SW,11,1031.2
2019-06-6,10.2,14.8,0,1.2,1.7,SSW,26,12:01:00,12.1,84,7,W,7,1034.7,14.1,77,7,S,7,1034.1
2019-06-7,11.7,16.6,0,1.2,6.5,N,22,13:58:00,12.3,74,7,NA,Calm,1036.6,15.9,62,1,SW,4,1032.8
2019-06-8,6.7,18.7,0,2.4,8.1,N,35,11:30:00,7.8,82,2,NA,Calm,1029,18.4,49,1,N,19,1023.5
2019-06-9,7.8,18,0,2.6,6.2,N,39,11:54:00,12.1,76,3,N,17,1022,17.2,48,3,N,20,1018
2019-06-10,12,19.2,3,2.4,6.9,N,57,04:04:00,15.6,73,7,N,17,1011.2,17.6,45,5,WNW,13,1012.8
2019-06-11,9.6,17.9,0,3.2,9,NNW,41,13:21:00,11.9,76,0,NNE,9,1022.5,17.1,57,1,N,22,1020.7
2019-06-12,11.9,16.5,0.6,3.8,0,NNW,44,10:08:00,15.6,76,8,NNW,19,1013.8,16.1,83,8,NW,9,1009.8
2019-06-13,8.8,17.4,2.6,1.4,8,NNW,35,11:50:00,11.5,72,3,NNW,17,1015.9,16.6,50,1,N,22,1014.3
